timestamp,step,throughput,en_cons,rlf,on_cost,latency_cell_ms,latency_ue_ms,reward
1760717529786,85,12.81208,4550.0,2.0,0.2367942864772817,3436.800315,3436.800315,638010.3982725368
1760717529886,86,12.89795,4828.0,4.0,0.21311485782955353,3853.2951414285712,3853.2951414285712,643979.8348260487
1760717529986,87,13.51376,5180.0,2.0,0.1918033720465982,3728.884730714286,3728.884730714286,671751.0706423424
1760717530086,88,14.24761,5584.0,3.0,0.17262303484193836,3929.3547700000004,3929.3547700000004,709197.3705086717
1760717530186,89,12.85922,5694.0,2.0,0.15536073135774456,4051.7413107142856,4051.7413107142856,639715.2587723827
1760717530286,90,10.96853,5181.0,5.0,0.9182480036314008,4197.985620714286,4197.985620714286,545472.7763967813
1760717530386,91,12.41303,5082.0,5.0,0.8264232032682607,4446.572957142857,4446.572957142857,617754.1882346544
1760717530486,92,11.39818,4731.0,5.0,0.7437808829414347,4424.805423571428,4424.805423571428,565413.9888933151
1760717530586,93,10.65551,4887.0,6.0,0.6694027946472911,4420.692788571428,4420.692788571428,529060.7267835138
1760717530686,94,10.99857,5128.0,4.0,0.6024625151825621,4647.061258571428,4647.061258571428,548953.7085770101
1760717530786,95,12.47037,4612.0,6.0,0.5422162636643059,4530.113357142857,4530.113357142857,620889.0074659043
1760717530886,96,13.18125,4458.0,5.0,0.48799463729787534,4915.057269285714,4915.057269285714,655673.8305442366
1760717530986,97,12.70134,4280.0,8.0,0.43919517356808785,4945.545574285715,4945.545574285715,631000.1120704694
1760717531086,98,13.25677,4836.0,8.0,0.395275656211279,4864.503449285714,4864.503449285714,660081.1053770549
1760717531186,99,13.79294,4725.0,7.0,0.35574809059015117,5040.352189285714,5040.352189285714,684259.7099864502
1760717531286,100,12.2363,4553.0,8.0,0.320173281531136,5335.895657857143,5335.895657857143,608353.8010341494
1760717531386,101,13.15747,4536.00001,8.0,0.28815595337802247,5217.910066428572,5217.910066428572,655287.0772085973
1760717531486,102,13.13705,4655.00001,10.0,0.2593403580402202,5357.661384999999,5357.661384999999,652429.1347137119
1760717531586,103,14.01609,4400.00001,8.0,0.2334063222361982,5844.166423571429,5844.166423571429,695787.5337896611
1760717531686,104,15.24558,4551.00001,7.0,0.21006569001257835,5923.413932857143,5923.413932857143,760548.7474140984
1760720018437,106,15.19809,4726.0,0.0,1.8,65.5217007142857,65.5217007142857,755415.1127926129
1760720018537,107,17.88403,4966.0,0.0,1.62,125.71972571428572,125.71972571428572,890427.6641708302
1760720018637,108,18.4038,4913.0,0.0,1.4580000000000002,206.00120214285715,206.00120214285715,917389.9215398676
1760720018737,109,17.00464,4636.0,0.0,1.3122,312.72153,312.72153,846708.9743806317
1760720018837,110,16.97841,4843.0,1.0,1.1809800000000001,417.05188571428573,417.05188571428573,844319.8860262927
1760720018937,111,15.07483,6034.0,0.0,1.062882,526.8027678571428,526.8027678571428,749155.9957634956
1760720019037,112,15.39979,5563.0,1.0,0.9565938000000002,653.5755171428572,653.5755171428572,767875.7924473132
1760720019137,113,18.69402,6327.0,1.0,0.8609344200000002,762.636957857143,762.636957857143,929892.7100164926
1760720019237,114,18.9404,6381.0,1.0,0.7748409780000002,865.3526242857143,865.3526242857143,943383.0573271135
1760720019337,115,19.81821,5939.0,2.0,0.6973568802000002,954.1923978571429,954.1923978571429,987525.3953031483
1760720019437,116,19.17463,5925.0,2.0,0.6276211921800001,1046.0598457142858,1046.0598457142858,954228.6221712978
1760720019537,117,18.71,6372.0,2.0,0.5648590729620002,1161.2752935714286,1161.2752935714286,933078.7557738104
1760720019637,118,18.96376,6393.0,3.0,0.5083731656658002,1262.7360757142856,1262.7360757142856,944544.000261715
1760720019737,119,19.80766,6010.0,3.0,0.4575358490992202,1390.1448442857143,1390.1448442857143,989241.1013304822
1760720019837,120,17.77258,6362.0,3.0,0.41178226418929814,1492.0918878571429,1492.0918878571429,885002.6546916659
1760720019937,121,18.48744,6443.0,3.0,0.3706040377703683,1608.6306207142857,1608.6306207142857,921923.6459902279
1760720020037,122,16.72018,6052.0,3.0,0.33354363399333153,1699.4323471428572,1699.4323471428572,834859.0997080783
1760720020137,123,18.10063,6282.0,4.0,0.30018927059399836,1809.7503528571428,1809.7503528571428,902644.2109085341
1760720020237,124,15.65246,5807.0,2.0,1.0350851717672993,1969.3024635714285,1969.3024635714285,779312.9898682119
1760720020337,125,14.57829,5283.0,2.0,0.9315766545905694,2009.796585,2009.796585,725903.1757647102
1760720020437,126,13.85407,5847.0,2.0,0.8384189891315125,2157.1163471428567,2157.1163471428567,688259.758875303
1760720020537,127,14.39635,6730.0,1.0,0.7545770902183612,2356.7353885714288,2356.7353885714288,714702.7653013982
1760720020637,128,14.50238,5012.0,2.0,0.6791193811965252,2323.558647142857,2323.558647142857,721309.8564966108
1760720020737,129,16.88105,5286.0,2.0,0.6112074430768726,2520.8767235714286,2520.8767235714286,842043.781582816
1760720020837,130,17.25702,4476.0,2.0,0.5500866987691854,2543.622753571429,2543.622753571429,858598.7651928273
1760720020937,131,8.56134,4398.0,2.0,0.4950780288922669,2678.1352657142857,2678.1352657142857,423888.85589731793
1760720021037,132,11.19299,4740.00001,3.0,0.4455702260030402,2897.736132857143,2897.736132857143,556046.9366844028
1760720021137,133,13.13102,3877.00001,4.0,0.40101320340273616,2933.867763571429,2933.867763571429,652867.5871637256
1760720021237,134,17.83323,4270.00001,5.0,0.3609118830624625,3005.2082149999997,3005.2082149999997,891661.1333359081
1760720021337,135,13.70319,4721.00001,3.0,0.32482069475621633,3124.67824,3124.67824,683365.3437995241
1760720021437,136,12.50605,4614.0,6.0,0.2923386252805947,3164.8440692857143,3164.8440692857143,620918.7226332899
1760720021537,137,12.61831,5137.0,1.0,0.26310476275253525,3665.65538,3665.65538,627011.3504674319
1760720021637,138,12.81208,4550.0,2.0,0.2367942864772817,3436.800315,3436.800315,637145.8982725368
1760720021737,139,12.89795,4828.0,4.0,0.21311485782955353,3853.2951414285712,3853.2951414285712,642145.1948260487
1760720021837,140,13.51376,5180.0,2.0,0.1918033720465982,3728.884730714286,3728.884730714286,671751.0706423424
1760720021937,141,14.24761,5584.0,3.0,0.17262303484193836,3929.3547700000004,3929.3547700000004,708136.4105086718
1760720022037,142,12.85922,5694.0,2.0,0.15536073135774456,4051.7413107142856,4051.7413107142856,636469.6787723827
1760720022137,143,10.96853,5181.0,5.0,0.9182480036314008,4197.985620714286,4197.985620714286,543503.9963967814
1760720022237,144,12.41303,5082.0,5.0,0.8264232032682607,4446.572957142857,4446.572957142857,616788.6082346544
1760720022337,145,11.39818,4731.0,5.0,0.7437808829414347,4424.805423571428,4424.805423571428,567211.768893315
1760720022437,146,10.65551,4887.0,6.0,0.6694027946472911,4420.692788571428,4420.692788571428,529060.7267835138
1760720022537,147,10.99857,5128.0,4.0,0.6024625151825621,4647.061258571428,4647.061258571428,547979.38857701
1760720022637,148,12.47037,4612.0,6.0,0.5422162636643059,4530.113357142857,4530.113357142857,620889.0074659043
1760720022737,149,13.18125,4458.0,5.0,0.48799463729787534,4915.057269285714,4915.057269285714,655673.8305442366
1760720022837,150,12.70134,4280.0,8.0,0.43919517356808785,4945.545574285715,4945.545574285715,631813.3120704694
1760720022937,151,13.25677,4836.0,8.0,0.395275656211279,4864.503449285714,4864.503449285714,660999.9453770549
1760720023037,152,13.79294,4725.0,7.0,0.35574809059015117,5040.352189285714,5040.352189285714,686055.2099864502
1760720023137,153,12.2363,4553.0,8.0,0.320173281531136,5335.895657857143,5335.895657857143,609218.8710341494
1760720023237,154,13.15747,4536.00001,8.0,0.28815595337802247,5217.910066428572,5217.910066428572,654425.2372066972
1760720023337,155,13.13705,4655.00001,10.0,0.2593403580402202,5357.661384999999,5357.661384999999,653313.5847156119
1760720023437,156,14.01609,4400.00001,8.0,0.2334063222361982,5844.166423571429,5844.166423571429,699967.5337991611
1760720023537,157,15.24558,4551.00001,7.0,0.21006569001257835,5923.413932857143,5923.413932857143,761413.4374159984
1760722495268,159,15.19809,4726.0,0.0,1.8,65.5217007142857,65.5217007142857,757210.9927926129
1760722495368,160,17.88403,4966.0,0.0,1.62,125.71972571428572,125.71972571428572,892314.7441708302
1760722495468,161,18.4038,4913.0,0.0,1.4580000000000002,206.00120214285715,206.00120214285715,913656.0415398676
1760722495568,162,17.00464,4636.0,0.0,1.3122,312.72153,312.72153,845828.1343806317
1760722495668,163,16.97841,4843.0,1.0,1.1809800000000001,417.05188571428573,417.05188571428573,844319.8860262927
1760722495768,164,15.07483,6034.0,0.0,1.062882,526.8027678571428,526.8027678571428,749155.9957634956
1760722495868,165,15.39979,5563.0,1.0,0.9565938000000002,653.5755171428572,653.5755171428572,763647.9124473132
1760722495968,166,18.69402,6327.0,1.0,0.8609344200000002,762.636957857143,762.636957857143,932296.9700164926
1760722496068,167,18.9404,6381.0,1.0,0.7748409780000002,865.3526242857143,865.3526242857143,942170.6673271134
1760722496168,168,19.81821,5939.0,2.0,0.6973568802000002,954.1923978571429,954.1923978571429,989782.2153031483
1760722496268,169,19.17463,5925.0,2.0,0.6276211921800001,1046.0598457142858,1046.0598457142858,955354.3721712978
1760722496368,170,18.71,6372.0,2.0,0.5648590729620002,1161.2752935714286,1161.2752935714286,930657.3957738105
1760722496468,171,18.96376,6393.0,3.0,0.5083731656658002,1262.7360757142856,1262.7360757142856,943329.330261715
1760722496568,172,19.80766,6010.0,3.0,0.4575358490992202,1390.1448442857143,1390.1448442857143,988099.2013304821
1760722496668,173,17.77258,6362.0,3.0,0.41178226418929814,1492.0918878571429,1492.0918878571429,885002.6546916659
1760722496768,174,18.48744,6443.0,3.0,0.3706040377703683,1608.6306207142857,1608.6306207142857,919475.3059902278
1760722496868,175,16.72018,6052.0,3.0,0.33354363399333153,1699.4323471428572,1699.4323471428572,830259.5797080783
